game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__Génétique (éval AB)__seed4150005__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.954597,11.372543,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__Génétique (éval AB)__seed4150006__Bstart,,B,B,no_move,11,"0,3,TRIANGLE | 2,1,CIRCLE | 2,2,SQUARE | 3,1,DIAMOND",2.734897,5.096483,5,6,128,189,1,0,0,0,0,0
AlphaBeta++__vs__Génétique (éval AB)__seed5160005__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 0,3,DIAMOND",3.784270,9.234379,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5160006__Bstart,,B,B,victory,13,"2,3,SQUARE | 1,1,CIRCLE | 1,2,DIAMOND | 3,2,TRIANGLE",2.867585,7.762298,6,7,146,198,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed6170005__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,DIAMOND | 3,0,SQUARE | 0,3,TRIANGLE",3.713313,8.466754,4,3,176,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6170006__Bstart,,B,A,victory,10,"2,3,CIRCLE | 1,1,CIRCLE | 1,2,SQUARE | 2,0,SQUARE",2.841870,7.595227,5,5,148,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed7180005__Astart,,A,B,victory,14,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 3,3,CIRCLE",3.946764,11.424909,7,7,193,160,1,1,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed7180006__Bstart,,B,B,victory,11,"3,3,TRIANGLE | 1,1,CIRCLE | 1,2,DIAMOND | 0,1,TRIANGLE",2.801238,5.630257,5,6,142,213,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed8190005__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 0,3,DIAMOND",3.788871,9.252181,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8190006__Bstart,,B,B,victory,9,"1,2,TRIANGLE | 2,1,CIRCLE | 0,0,DIAMOND | 2,2,DIAMOND",2.802283,6.547038,4,5,132,195,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed9200005__Astart,,A,A,victory,13,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE",3.938777,11.323729,7,6,199,154,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9200006__Bstart,,B,B,victory,9,"3,0,SQUARE | 1,2,CIRCLE | 2,2,DIAMOND | 2,1,TRIANGLE",2.820752,6.887960,4,5,140,190,0,0,0,0,1,0
